,Item Description,Category
1645,Baileys Expresso Creme,1081200.0
1647,E & J Apple,1051100.0
1648,Bacardi Grapefruit,1062500.0
1649,Kerrygold Irish Cream Liqueur,1081200.0
1674,Hennessy Vs Cognac Minis,1052100.0
1675,Grey Goose Vodka Mini,1032000.0
1708,Seagrams V.o. Bl Canadian Whisky,1012100.0
1718,Paramount Creme De Cacao/dark,1081000.0
1719,Gordon's Gin London Dry,1041100.0
1723,Arrow Peppermint Schnapps,1081400.0
1727,Pama Pomegranate Liqueur,1081000.0
1728,Oban Single Malt Scotch,1012300.0
1791,Jameson Black Barrel,1012400.0
1793,Early Times 36 Mo Ky Str Bourbon,1011200.0
1819,Chopin Vodka,1032000.0
1822,Stolichnaya Premium Vodka 80 Prf,1032000.0
1823,Stolichnaya Premium Vodka 80 Proof (lv),1032000.0
1824,Stolichnaya Blueberi,1032200.0
1825,Stolichnaya Razberi Vodka 75 Proof,1032200.0
1826,Three Olives Raspberry Vodka,1032200.0
1848,Deep Eddy Ruby Red Mini,1031200.0
1851,Firefly Sweet Tea Vodka,1031200.0
1862,Malibu Peaches N' Cream,1092000.0
1863,Mt. Gay Eclipse Rum,1062100.0
1868,Bacardi O,1062500.0
1873,Captain Morgan White Mini,1062200.0
1878,Castillo Silver Rum,1062200.0
1890,E & J Vsop Superior Reserve,1051100.0
1891,Korbel Brandy,1051100.0
1892,Bacardi Party Drinks Hurricane,1070000.0
1893,Bartenders Hot Sex,1070000.0
1900,Skinnygirl Margarita,1070000.0
1903,B&b D.o.m.,1082000.0
1905,Domaine de Canton,1082000.0
1912,Pimm's Cup No. 1,1082000.0
1919,Tooters Ala Bama Slama,1070000.0
1920,Bleu Pel,1081000.0
1921,Christian Bros Honey,1081000.0
1924,Midnight Moon Blackberry,1091300.0
1927,Rondiaz Rum Spiced Black Cherry,1062500.0
1932,Arrow Spearmint Schnapps,1081400.0
1941,Paramount Triple Sec,1081500.0
1946,El Zarco Silver,1022100.0
1949,Don Julio Anejo Tequila,1022200.0
1951,Jose Cuervo Tradicional Reposado Tequila,1022200.0
1958,Bacardi Party Drinks Bahama Mama,1070000.0
1965,Tortilla White Tequila,1022100.0
1990,Midnight Moon Strawberry,1091300.0
2000,Cedar Ridge Short's Whiskey,1011100.0
2004,Pearl Vodka PET,1032000.0
2013,Gosling's Black Seal,1062500.0
2023,Canadian Ltd Whisky Convenience Pack,1012100.0
2026,Tortilla Gold Dss,1092000.0
2038,Skol Vodka Traveler,1031000.0
2041,Admiral Nelson Spiced 101,1062400.0
2051,E & J Vs Brandy Square,1051100.0
2054,Christian Bros Apple,1051100.0
2056,Burnett's Grape Vodka,1031200.0
2057,Burnett's Tropical Punch,1031200.0
2059,Svedka Citron Vodka,1032200.0
2068,Campari Italian Aperitivo,1082000.0
2075,Ezra Brooks Bourbon Cream,1701100.0
2079,Jim Beam Double Oak,1011200.0
2080,Rebel Yell Straight Kentucky Bourbon,1011200.0
2081,Jeremiah Weed 100prf Bourbon Liqueur,1081600.0
2112,Jack Daniel's Tennessee Fire Mini,1011400.0
2172,Jose Cuervo Especial Reposado Flask,1022100.0
2212,Uv Citruv (citrus) Vodka,1031200.0
2213,Uv Pink Lemonade Vodka,1031200.0
2247,Tomatin Single Malt,1012300.0
2249,Hartley,1052100.0
2250,Il Tramonto Limoncello,1082000.0
2255,Copa De Oro Mexican Coffee,1081100.0
2266,Patron Reposado Tequila,1022200.0
2268,D'usse VSOP,1082000.0
2272,Cinerator Mini,1081600.0
2284,Canadian Hunter Rye,1012100.0
2286,Serpent's Bite Apple Cider Mini,1081600.0
2287,Deep Eddy Lemon Mini,1031200.0
2300,Grey Goose Le Citron,1032200.0
2301,Absolut Vanilia,1032200.0
2307,Clearheart Vodka,1031000.0
2316,Smirnoff Sourced Cranberry Apple,1031200.0
2326,Gordon's Vodka 80 Prf - Pet,1031000.0
2337,Burnett's Cherry Vodka,1031200.0
2342,Cedar Ridge Port Cask Finished Bourbon,1011200.0
2343,Cedar Ridge Malted Rye,1011600.0
2344,Cedar Ridge Single Malt Whiskey,1012300.0
