,Store Number,County Number
132306,5216,77.0
132771,5233,63.0
133218,4706,23.0
133396,5355,82.0
133607,5278,21.0
134666,3901,94.0
137037,5353,63.0
137438,5273,63.0
140411,4454,97.0
140697,4968,79.0
141914,5064,57.0
143523,4119,7.0
144046,4513,77.0
144115,2848,77.0
146338,4828,64.0
146362,4528,64.0
149356,4546,14.0
150130,9001,52.0
150139,9901,77.0
150569,4944,64.0
150598,4825,20.0
150737,3582,27.0
150988,5308,35.0
151439,4643,69.0
152519,5186,33.0
153128,4656,85.0
153196,4015,85.0
153335,4785,78.0
154868,4571,12.0
155284,5366,34.0
159253,4501,51.0
160663,4315,92.0
161006,4468,70.0
161512,4627,50.0
162711,4753,1.0
163375,5078,78.0
163476,5291,78.0
168988,4792,25.0
170133,3652,47.0
170628,4610,76.0
172043,5218,59.0
172288,4811,68.0
172630,4325,69.0
173115,4707,23.0
174894,5285,46.0
177802,5349,57.0
177817,5200,57.0
177848,4548,57.0
178404,4915,82.0
179097,4791,97.0
180670,5197,52.0
181319,5305,57.0
182331,5107,77.0
182916,9010,91.0
188121,4653,37.0
190371,5276,69.0
190580,4824,88.0
192230,2845,78.0
192954,4796,77.0
193539,5365,12.0
194873,5369,49.0
195428,4885,49.0
197240,4555,56.0
197401,5046,56.0
200178,4843,70.0
202229,5232,5.0
202993,5088,84.0
203011,4985,75.0
204292,4714,91.0
205098,5242,52.0
206794,5234,31.0
210017,5312,18.0
210389,4781,81.0
212098,5265,4.0
212504,5240,16.0
218830,4750,82.0
219151,5185,52.0
225173,4530,57.0
229808,9023,14.0
230286,4537,27.0
230877,2673,77.0
231412,4779,80.0
237000,9912,77.0
237546,5370,33.0
242257,5372,71.0
242478,5331,60.0
244239,5191,39.0
249349,5235,25.0
259108,5371,82.0
260373,4554,97.0
260848,4846,67.0
278117,4933,29.0
278209,5361,29.0
283187,5161,78.0
287137,5201,31.0
287854,5209,31.0
287875,4996,31.0
295057,4716,21.0
303106,4755,17.0
313230,4497,42.0
318873,4992,29.0
323600,5056,78.0
328141,4766,31.0
343948,9919,77.0
354559,5035,78.0
359378,5373,22.0
365649,5357,84.0
374796,5377,13.0
377882,4499,30.0
385034,5277,67.0
391455,5363,77.0
398325,5375,77.0
402692,5368,10.0
407938,5376,84.0
422878,9925,77.0
425786,9927,14.0
431506,5388,98.0
431586,5383,98.0
435451,5385,77.0
436069,5384,25.0
439105,5394,96.0
439543,5387,40.0
439765,5386,99.0
441608,5393,66.0
451913,5392,77.0
468637,5380,97.0
473479,5391,17.0
478471,5378,64.0
487033,5272,31.0
494448,5396,91.0
505617,9928,57.0
509888,5390,97.0
536372,5405,52.0
537257,5402,52.0
554715,5404,52.0
573762,5403,82.0
