,Store Number,Zip Code
67354,5212,50401.0
67438,4553,50475.0
67597,3624,50208.0
67931,4364,50112.0
68075,4365,50112.0
68290,5290,50206.0
68340,4429,50054.0
68891,4734,50322.0
69220,5307,50131.0
69251,4406,50023.0
69508,5117,50158.0
69527,4205,50158.0
69551,2592,50158.0
69674,4665,50021.0
70469,4696,50266.0
70481,4519,50266.0
70577,5255,50266.0
70586,4379,50266.0
70704,4518,50266.0
70712,3806,50266.0
70746,5340,50266.0
70755,4371,50265.0
70962,4719,50265.0
71108,4715,50265.0
71201,4539,51462.0
71474,5079,51442.0
71489,4149,51442.0
71568,5203,50058.0
71695,4577,50276.0
71924,4621,50161.0
71961,3606,50638.0
72037,3591,50601.0
72152,5055,50452.0
72158,4024,50126.0
72174,5325,50122.0
72738,4370,50211.0
72755,5229,50211.0
72772,4882,50240.0
72957,5358,50033.0
73113,4266,51601.0
73169,5223,51653.0
73189,3880,51503.0
73207,4042,51534.0
73637,4253,50273.0
73859,3930,52166.0
74240,4034,52162.0
74401,3648,50629.0
74584,4515,50071.0
74614,5289,50248.0
74768,4414,51559.0
74788,5158,51501.0
74827,4440,51503.0
74840,4477,51503.0
74920,4741,51503.0
75018,4435,51501.0
75185,4866,51501.0
75361,5052,50849.0
75535,3698,50266.0
75859,5119,50430.0
76022,5310,50511.0
76117,4529,50424.0
76207,5246,50436.0
76566,4584,50602.0
76618,4754,50677.0
76875,4945,50461.0
77963,5020,52337.0
77990,4541,52037.0
78222,5019,52031.0
78239,4934,52336.0
78295,4679,52402.0
78936,5295,50702.0
79377,3587,52632.0
79973,5062,52639.0
80191,4859,52601.0
81677,5070,52778.0
82060,2839,52804.0
82230,5198,52803.0
82311,3882,52802.0
83249,4746,52761.0
83634,4970,52776.0
83757,5041,50171.0
83839,5075,50207.0
84331,5112,51240.0
84793,4777,51046.0
84897,4880,50020.0
85031,3465,50216.0
85122,4418,51577.0
85606,5164,51501.0
85803,5114,51555.0
85929,4560,51537.0
86033,2459,50115.0
86847,4482,50125.0
88979,4663,52068.0
89179,4711,52002.0
89641,4685,52001.0
90389,5341,52405.0
90928,5157,50563.0
91012,4838,50212.0
91181,4664,50036.0
91223,5159,50579.0
91842,5193,51453.0
92392,5270,50322.0
92547,4890,50323.0
92710,4669,50312.0
92853,4929,50003.0
92910,4887,50266.0
93797,4759,50703.0
93818,2836,50703.0
93921,5294,50703.0
94301,4948,52777.0
94830,4645,52748.0
94875,4912,52748.0
95422,4507,51301.0
95590,3891,50536.0
95648,5021,51355.0
96005,4854,50514.0
96026,4274,51358.0
96238,5281,50501.0
96377,5288,50501.0
96571,4775,50529.0
96829,5221,50060.0
96864,5217,52590.0
97019,4232,52571.0
97282,5109,50047.0
98311,4695,50009.0
99609,4520,50124.0
99828,5262,52722.0
101566,5344,51104.0
101737,5076,51106.0
101772,5083,51104.0
101807,5188,51101.0
102148,5328,52346.0
103204,5025,52403.0
103333,4635,52405.0
103445,5172,52404.0
105905,4351,50248.0
106767,4506,52340.0
107101,4724,50208.0
107191,5275,50208.0
107883,4505,50131.0
108262,5170,50247.0
108272,4338,50162.0
108304,3656,50021.0
108309,5099,50023.0
109294,3871,50266.0
110732,4415,50601.0
111370,4544,50213.0
111422,4782,50140.0
111783,4573,51640.0
111854,4602,51561.0
112337,4786,50273.0
112382,4590,50613.0
113041,4938,50641.0
113659,4739,51503.0
114771,4797,50316.0
115275,5367,50630.0
115503,3393,50466.0
115625,4533,50472.0
117238,5350,52302.0
117529,4991,52043.0
118223,4498,50682.0
118508,4578,52626.0
118655,4692,52632.0
118764,5213,52639.0
118828,4689,52627.0
118961,4857,52655.0
119367,4858,52655.0
119390,4983,52655.0
119678,4699,52722.0
119836,4747,52803.0
120351,4552,52728.0
120479,5336,52761.0
120742,5259,51534.0
124025,4523,50076.0
126130,4343,50313.0
126981,4710,52002.0
127599,3872,52003.0
127763,5241,52001.0
128137,5006,52001.0
128277,4536,52003.0
128312,5183,52033.0
129532,4730,50131.0
130051,4489,52405.0
130245,5061,52404.0
130377,5304,50583.0
130497,5120,51034.0
130683,4982,51002.0
130935,4210,50588.0
130957,4737,50588.0
132306,5216,50237.0
132771,5233,50225.0
133218,4706,52732.0
133396,5355,52748.0
133607,5278,51301.0
134666,3901,50501.0
137037,5353,50219.0
137438,5273,50219.0
