,Item Description,Category Name
864,Jose Cuervo Authentic Grapefruit Tangerine Margarita,Cocktails / RTD
868,Five Star Pet,Blended Whiskies
872,Cruzan Mango Rum,Flavored Rum
873,Paramount Gold Rum,Gold Rum
876,Arrow Blackberry Flav Brandy,American Brandies
877,Piehole Cherry Pie,Whiskey Liqueur
880,Rumcoqui,Cream Liqueurs
881,Dekuyper Michigan Cherry Liqueur,American Cordials & Liqueurs
886,Mr. Boston Blackberry Brandy,American Brandies
887,Paramount Cherry Flavored Brandy,American Brandies
896,Absolut Pears,Imported Flavored Vodka
899,Three Olives Loopy Flavored Vodka,Imported Flavored Vodka
900,Burnetts Raspberry Vodka,American Flavored Vodka
901,Burnett's Citrus,American Flavored Vodka
905,Smirnoff Cranberry,American Flavored Vodka
906,Smirnoff Green Apple,American Flavored Vodka
908,Smirnoff Sours Fruit Punch,American Flavored Vodka
910,Smirnoff Sours Watermelon,American Flavored Vodka
913,Russell's Reserve 10YR,Straight Bourbon Whiskies
917,George Dickel Rye,Straight Rye Whiskies
918,Hot Stuff,Whiskey Liqueur
920,Seagrams Seven Crown Dark Honey,Blended Whiskies
921,Southern Host Whiskey Liqueur,Whiskey Liqueur
923,Familia Camarena Silver,100% Agave Tequila
924,Exotico Blanco,100% Agave Tequila
925,Familia Camarena Reposado,100% Agave Tequila
927,Glenfiddich 12yr Special Reserve,Single Malt Scotch
928,Malibu Passion Fruit Rum,Flavored Rum
929,Malibu Black,Flavored Rum
930,Bacardi Black,Aged Dark Rum
935,Captain Morgan Private Stock,Spiced Rum
937,Kraken Black Spiced Rum,Spiced Rum
940,Arrow Sloe Gin,American Cordials & Liqueur
942,Grangala Triple Orange Liqueur,Imported Cordials & Liqueurs
943,Amaretto E Dolce,American Cordials & Liqueurs
944,Yukon Jack Canadian Liqueur,Whiskey Liqueur
957,New Amsterdam Vodka Mini,American Vodka
959,Admiral Nelson Spiced Rum Mini,Spiced Rum
960,Jose Cuervo Especial Reposado Tequila Mini,Mixto Tequila
963,Jim Beam Apple Mini,Straight Bourbon Whiskies
964,Kahlua Coffee Liqueur Mini,Coffee Liqueurs
970,Buchanan's 12 Yr Deluxe Scotch,Scotch Whiskies
994,New Amsterdam 100prf,American Vodka
996,Svedka Mango Pineapple,Imported Flavored Vodka
1000,Uv Cake Vodka,American Flavored Vodka
1002,Hennessy VSOP Privilege,Imported Brandies
1011,Piehole Apple Pie,Whiskey Liqueur
1012,Don Julio Real,100% Agave Tequila
1015,Gentleman Jack,Tennessee Whiskies
1027,McCormick Vodka,American Vodka
1030,Lexington,Straight Bourbon Whiskies
1032,Jim Beam Honey Mini,Straight Bourbon Whiskies
1033,Jim Beam Honey,Straight Bourbon Whiskies
