,Store Number,Store Location
14629,2502,"410 North Ankeny Blvd
Ankeny 50021
(41.734644, -93.600406)"
14725,3723,"1023 9th St
Onawa 51040
(42.025841, -96.095845)"
14903,4971,"5500, E University Ave
Pleasant Hill 50327
(41.599231, -93.505046)"
14940,4433,"5970 Morning Star Ct
Pleasant Hill 50317
(41.597596, -93.492204)"
14975,3949,"1650 Washington St
Pella 50219
(41.410379, -92.933676)"
14986,2642,"512 E Oskaloosa
Pella 50219
(41.396961, -92.899282)"
15064,3990,"309 A Ave West
Oskaloosa 52577
(41.296228, -92.648153)"
15176,3735,"1202 A Ave East
Oskaloosa 52577
(41.296286, -92.631487)"
15216,4300,"311 3rd Ave W
Oskaloosa 52577
(41.292614, -92.648062)"
15228,4821,"901 S Market St
Oskaloosa 52577
(41.287608, -92.645078)"
15236,2596,"2453 North Court
Ottumwa 52501
(41.049849, -92.408084)"
15310,3726,"1940 Venture Dr
Ottumwa 52501
(41.014653, -92.456546)"
15341,2543,"1025 North Quincy Ave
Ottuwma 52501
(41.015624, -92.438466)"
15597,4069,"1325 Albia Rd
Ottumwa 52501
(41.009334, -92.44027)"
15609,3916,"1115 Albia Rd
Ottumwa 52501
(41.009334, -92.437188)"
15651,5300,"534 Church St
Otumwa 52501
(41.009459, -92.418522)"
15755,2611,"1140 North Jefferson St
Ottumwa 52501
(41.026754, -92.401538)"
15862,2548,"100 8th Street SW
Altoona 50009
(41.644041, -93.465301)"
15989,2238,"3200 Adventureland Dr
Altoona 50009
(41.658515, -93.499151)"
16111,2594,"4500 Sergeant Road
Sioux City 51106
(42.447471, -96.347261)"
16134,5348,"806 W Main St.
Le Grand 50142
(42.006665, -92.784654)"
16301,4202,"4267 Sergeant Rd
Sioux City 51106
(42.449865, -96.354159)"
16320,3879,"5775 Sunnybrook Dr
Sioux City 51106
(42.448013, -96.331662)"
16324,5351,"1203 5th St.
Sioux City 51101
(42.495324, -96.394671)"
16343,4879,"4218 MORNINGSIDE AVE
Sioux City 51106
(42.47063, -96.352852)"
16381,4884,"4523, Morningside Ave
Sioux City 51106
(42.470479, -96.348659)"
16402,4565,"1925 S Lakeport St
Sioux City 51106
(42.469008, -96.346548)"
16422,2621,"3301 Gordon Dr
Sioux City 51105
(42.487752, -96.364108)"
16517,3808,"300 4th St
La Porte City 50651
(42.315788, -92.189842)"
16588,3869,"412 1st Ave
Coralville 52241
(41.672672, -91.565517)"
16666,4452,"2825 Gordon Dr
Sioux City 51105
(42.489617, -96.371962)"
16785,2623,"2827 Hamilton Blvd
Sioux City 51104
(42.519886, -96.417783)"
16967,3820,"507 W 19th St
Sioux City 51103
(42.510535, -96.420193)"
17101,4975,"1900 Hamilton Blvd
Sioux City 51104
(42.511534, -96.41671)"
17126,4588,"923 W 7TH ST
Sioux City 51103
(42.503495, -96.419074)"
17153,4558,"1373 Pierce St
Sioux City 51105
(42.504732, -96.405013)"
17188,2667,"2611 Pierce St
Sioux City 51104
(42.517651, -96.405172)"
17230,4200,"4016 Indian Hills Dr
Sioux City 51108
(42.538573, -96.37325)"
17244,4568,"4103 Floyd Blvd
Sioux City 51108
(42.541969, -96.358493)"
