,Store Number,County
64554,4770,BLACK HAWK
64843,4731,POLK
64955,5058,POLK
65013,5332,POLK
65213,4873,DALLAS
65451,3540,SCOTT
65538,4748,SCOTT
65953,4911,SCOTT
66006,5156,SCOTT
66497,4353,Cerro Gord
66803,5283,CERRO GORD
67345,5282,CERRO GORD
67354,5212,CERRO GORD
67438,4553,FRANKLIN
67597,3624,JASPER
67931,4364,POWESHIEK
68075,4365,POWESHIEK
68290,5290,Jasper
68340,4429,JASPER
68891,4734,POLK
69220,5307,POLK
69251,4406,Polk
69508,5117,MARSHALL
69527,4205,MARSHALL
69551,2592,MARSHALL
69674,4665,POLK
70469,4696,POLK
70481,4519,POLK
70577,5255,POLK
70586,4379,POLK
70704,4518,POLK
70712,3806,POLK
70746,5340,POLK
70755,4371,POLK
70962,4719,POLK
71108,4715,POLK
71201,4539,GREENE
71474,5079,CRAWFORD
71489,4149,CRAWFORD
71568,5203,CARROLL
71695,4577,DALLAS
71924,4621,STORY
71961,3606,GRUNDY
72037,3591,Webster
72152,5055,FRANKLIN
72158,4024,HARDIN
72174,5325,HARDIN
72738,4370,WARREN
72755,5229,WARREN
72772,4882,Madison
72957,5358,WARREN
73113,4266,PAGE
73169,5223,FREMONT
73189,3880,POTTAWATTA
73207,4042,MILLS
73637,4253,MADISON
73859,3930,Fayette
74240,4034,ALLAMAKEE
74401,3648,BUCHANAN
74584,4515,WRIGHT
74614,5289,STORY
74768,4414,POTTAWATTA
74788,5158,POTTAWATTA
74827,4440,POTTAWATTA
74840,4477,POTTAWATTA
74920,4741,POTTAWATTA
75018,4435,POTTAWATTA
75185,4866,POTTAWATTA
75361,5052,ADAIR
75535,3698,POLK
75859,5119,HANCOCK
76022,5310,KOSSUTH
76117,4529,WINNEBAGO
76207,5246,Hancock
76566,4584,Butler
76618,4754,BREMER
76875,4945,MITCHELL
77963,5020,CEDAR
77990,4541,CLINTON
78222,5019,JACKSON
78239,4934,LINN
78295,4679,LINN
78936,5295,BLACK HAWK
79377,3587,LEE
79973,5062,LEE
80191,4859,DES MOINES
81677,5070,MUSCATINE
82060,2839,SCOTT
82230,5198,SCOTT
82311,3882,SCOTT
83249,4746,MUSCATINE
83634,4970,MUSCATINE
83757,5041,POWESHIEK
83839,5075,MAHASKA
84331,5112,LYON
84793,4777,OBRIEN
84897,4880,CASS
85031,3465,GUTHRIE
