,Store Number,Address
38591,4585,"306, 1st St SW"
38604,5148,"882, Main St"
38626,4607,"1131, S Hwy 52"
38636,3782,619 S Hwy 52
38681,4869,7 Goethe Street  Suite B
38710,3679,103 Franklin St
38782,4972,808 S Main St
38808,4908,107 1st St SW
38862,4130,20611 Hwy 1 N
38881,3803,128 W Mission
38882,4855,"308, W Mission"
38903,3957,101 West Madison
38922,4943,"205, 4th St"
38938,4296,111 Main St
38991,2555,3111 Main
39129,4993,"1301, Main St"
39160,2191,1013 Main
39313,4673,327 5th St
39356,4793,5002 Avenue O
39384,3549,1414 48th St
39457,2584,2606 Avenue L
39546,4619,1737 Ave H
39643,4258,920 Lawrence Dr
39673,4898,"130, S Roosevelt Ave"
39690,4721,3245 Agency St
39707,5204,1812 Osborn St
39726,4722,201 S Central Ave
39732,4424,1012 Maple St
39771,4752,1003 Summer St
39805,5149,"1900, Summer St"
39842,2507,939 Angular
39884,4897,1703 Mt Pleasant St
39944,2506,3140 Agency
40263,4794,110 S Roosevelt Hwy 61
40292,5071,408 6th Ave
40309,4698,201 W Burlington Ave
40326,4522,201 Ralph St
40391,2601,1300 West Burlington Ave
41067,5040,1300 Nicolaus St
41186,3838,858 Middle Rd
41327,5108,1032 State St
41354,5249,"1205/1207, Locust St."
41437,4644,"1136, E Locust St"
41445,5100,648 N  Marquette St
41470,4962,1312 Harrison St
41504,3917,1606 W Locust St
41598,4749,1660 W Locust St
41614,3805,1601 Washington St
41693,5226,214 MYRTLE ST
41741,4892,1026 W River Dr
41821,4949,"828, W River Dr"
41836,5320,234 West 3rd
41896,2554,3019 Rockingham Road
41915,4303,111 N Wapello
41947,3918,3120 Rockingham Rd
42019,4967,"102, W Mayne St"
42098,2629,1745 Madison Ave
42378,2641,757 W BROADWAY
42488,2613,2323 W Broadway
42653,5315,110 South Main Street
42693,5316,118 South Main Street
42736,4279,217 E Broadway
42754,4580,304 W. Madison
42924,2653,1004 W Madison St
43082,5163,"309, W  Washington St"
43089,5072,"901, E Washington St"
43115,2558,1700 E Washington
43274,4790,"109, Wapello St"
43377,4125,503 Hwy 61 South
43422,4413,303 Us Hwy 61 N
43435,3710,219 Main St
43440,3403,103 Walnut St. E
43522,5090,709 Grandview Ave
