,Item Description,Vendor Number
1273,Jack Daniels Old #7 Black Lbl Flat,85.0
1287,Jameson Mini,370.0
1317,New Amsterdam,205.0
1325,Courvoisier Vs Coganc,65.0
1332,E & J Vs Brandy,205.0
1355,Patron Tequila Silver Mini,410.0
1356,Lot 40,370.0
1358,Kraken Black Spiced 70prf,395.0
1359,Kraken Black Spiced Rum 70prf,395.0
1362,Espolon Blanco,461.0
1363,Espolon Reposado,461.0
1364,Filibuster Dual Cask Bourbon,244.0
1365,Filibuster Boondoggler Whiskey,244.0
1366,Filibuster Dual Cask Rye Whiskey,244.0
1367,High West Rendezvous Rye,136.0
1368,High West Campfire,136.0
1369,Climax Wood-Fired Whiskey,208.0
1373,Seagrams Extra Dry Gin Mini,370.0
1384,Crown Royal Black,260.0
1414,E & J Vs Brandy Travelers,205.0
1415,Blackheart Premium Spiced Rum,259.0
1417,Calico Jack Spiced,65.0
1419,Portland Potato Vodka,234.0
1420,Outerspace,163.0
1425,Absolut Ruby Red,370.0
1431,Smirnoff Sours Berry Lemon,260.0
1435,Pearl Cucumber Vodka,434.0
1450,Dekuyper Triple Sec,65.0
1454,UV Candy Bar,380.0
1456,Hornitos Plata,65.0
1459,Olmeca Altos Plata,370.0
1460,Lunazul Blanco,259.0
1464,Three Olives Cherry Vodka,395.0
1466,Three Olives Vodka,395.0
1470,Prairie Organic Gin,380.0
1471,Hendrick's Gin,240.0
1472,Beefeater Gin,370.0
1477,Glenlivet 12 Yr Malt Scotch,370.0
1478,Redbreast 12YR,370.0
1482,Dalwhinnie 15 Yr Single Malt Scotch,260.0
1487,Evan Williams 1783,259.0
1488,Cabin Still Str Bourbon,259.0
1489,Red Stag Black Cherry,65.0
1490,Jim Beam Rye,65.0
1492,Clyde May's Straight Bourbon,305.0
1493,Four Roses Yellow Label,184.0
1495,Four Roses Single Barrel,184.0
1496,Sazerac Rye,421.0
1497,J.R. Ewing Private Reserve,373.0
1502,Dekuyper Cherry Pucker Schnapps,65.0
1505,Paramount Blue Curacao,434.0
1507,Salvador's Original Margarita PET,434.0
1510,Margaritaville Last Mango Margarita,330.0
1511,Chi-Chi's Long Island Iced Tea,55.0
1512,Chi-Chi's Gold Margarita,55.0
1514,Galliano L'Autentico,305.0
1515,Whistlepig 10YR,214.0
1528,Cedar Ridge Unaged Whiskey,125.0
1532,Bushmills Black Bush Irish Whiskey,395.0
1534,Seagrams 7 Crown Pet Flask,260.0
1547,Smirnoff Sorbet Light Raspberry Pomegranate,260.0
1550,E & J Vsop Superior Reserve Mini,205.0
1555,Admiral Nelson Coconut Rum,259.0
1558,Lucid Absinthe,971.0
1563,Cruzan Black Cherry Rum,65.0
1565,Dekuyper Signature Creme De Banana,65.0
1566,Dekuyper Raspberry Pucker,65.0
1568,Hornitos Gold,65.0
1571,Kamora Coffee Liqueur,65.0
1577,Paramount Gold Rum Traveler,434.0
1582,Arrow Mcdale's Butterscotch Schnapps,434.0
1589,Midnight Moon Cherry,384.0
1617,Jose Cuervo Light White Peach Margarita,395.0
1623,Dr. Mcgillicuddy's Cherry Mini,421.0
1626,Dr. Mcgillicuddy's Vanilla,421.0
1629,Smirnoff Peach,260.0
1632,Smirnoff Watermelon,260.0
1638,Olmeca Altos Reposado,370.0
1642,Exotico Reposado,434.0
1644,Captain Morgan Cannon Blast Mini,260.0
1645,Baileys Expresso Creme,260.0
1647,E & J Apple,205.0
1648,Bacardi Grapefruit,35.0
1649,Kerrygold Irish Cream Liqueur,255.0
1674,Hennessy Vs Cognac Minis,420.0
1675,Grey Goose Vodka Mini,35.0
1708,Seagrams V.o. Bl Canadian Whisky,260.0
1718,Paramount Creme De Cacao/dark,434.0
1719,Gordon's Gin London Dry,260.0
1723,Arrow Peppermint Schnapps,434.0
1727,Pama Pomegranate Liqueur,259.0
1728,Oban Single Malt Scotch,260.0
1791,Jameson Black Barrel,370.0
1793,Early Times 36 Mo Ky Str Bourbon,85.0
1819,Chopin Vodka,305.0
1822,Stolichnaya Premium Vodka 80 Prf,277.0
1823,Stolichnaya Premium Vodka 80 Proof (lv),277.0
1824,Stolichnaya Blueberi,277.0
1825,Stolichnaya Razberi Vodka 75 Proof,277.0
1826,Three Olives Raspberry Vodka,395.0
1848,Deep Eddy Ruby Red Mini,259.0
1851,Firefly Sweet Tea Vodka,421.0
1862,Malibu Peaches N' Cream,370.0
1863,Mt. Gay Eclipse Rum,389.0
1868,Bacardi O,35.0
1873,Captain Morgan White Mini,260.0
1878,Castillo Silver Rum,35.0
1890,E & J Vsop Superior Reserve,205.0
1891,Korbel Brandy,85.0
1892,Bacardi Party Drinks Hurricane,35.0
1893,Bartenders Hot Sex,285.0
1900,Skinnygirl Margarita,65.0
1903,B&b D.o.m.,35.0
1905,Domaine de Canton,259.0
1912,Pimm's Cup No. 1,260.0
1919,Tooters Ala Bama Slama,308.0
1920,Bleu Pel,269.0
1921,Christian Bros Honey,259.0
1924,Midnight Moon Blackberry,384.0
1927,Rondiaz Rum Spiced Black Cherry,322.0
1932,Arrow Spearmint Schnapps,434.0
1941,Paramount Triple Sec,434.0
1946,El Zarco Silver,395.0
1949,Don Julio Anejo Tequila,260.0
1951,Jose Cuervo Tradicional Reposado Tequila,395.0
1958,Bacardi Party Drinks Bahama Mama,35.0
1965,Tortilla White Tequila,421.0
1990,Midnight Moon Strawberry,384.0
2000,Cedar Ridge Short's Whiskey,125.0
2004,Pearl Vodka PET,434.0
